Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,404","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,405","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,406","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,407","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,408","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,409","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,410","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,411","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,412","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,413","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,414","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,415","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,416","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,417","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,418","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,419","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,420","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,421","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,422","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,423","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,424","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,425","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,426","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,427","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,428","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,429","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,430","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,431","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,432","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,433","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,434","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,435","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,436","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,437","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,438","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,439","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,440","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,441","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,442","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,443","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,444","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,445","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,446","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,447","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,448","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,449","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,450","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,451","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,452","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,453","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,454","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,455","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,456","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,457","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,458","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,459","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,460","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,461","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,462","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,463","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,464","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,465","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,466","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,467","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,468","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,469","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,470","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,471","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,472","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,473","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,474","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,475","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,476","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,477","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,478","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,479","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,480","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,481","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,482","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,483","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,484","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,485","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,486","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,487","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,488","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,489","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,490","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,491","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,492","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,493","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,494","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,495","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,496","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,497","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,498","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,499","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,500","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,501","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
